variable,label,unique_values,variable_type
f4k3a_3,What program/school completed: ESL,4,categorical
f4k3a_4,What program/school completed: nursing school (LPN or RN),5,categorical
f4k3a_5,What program/school completed: business school,5,categorical
f4k3a_6,What program/school completed: improve reading,4,categorical
f4k3a_7,What program/school completed: votech,5,categorical
f4k3a_8,What program/school completed: job corps,5,categorical
f4k3a_9,What program/school completed: junior college (2-year),5,categorical
f4k3a_10,What program/school completed: college (4-year),5,categorical
f4k3a_11,What program/school completed: other school,5,categorical
f4k3a_12,What program/school completed: other training,8,categorical
f4k3a_13,What program/school completed: learn job skills,5,categorical
f4k3a_14,What program/school completed: help get a job,5,categorical
f4k3a_15,What program/school completed: some college,5,categorical
f4k3a_16,What program/school completed: graduate/professional,5,categorical
f4k3b,"In the last 2 years, have you taken any classes to improve your job skills?",5,categorical
f4k3c,"In the last 2 years, have you received any kind of employment counseling?",5,categorical
f4k4,"Last week, did you do any regular work for pay?",4,categorical
f4k5,Are you currently looking for a regular job?,6,categorical
f4k6,How long have you been looking for a regular job?,8,categorical
f4k7,Why aren't you looking for a regular job?,16,categorical
f4k8,What would the hourly wage have to be in order for you to take a job? ($),449,continuous
f4k9a,When you last work reg job for 2 weeks+ to receive reg paycheck (month)?,1,categorical
f4k9b,When you last work reg job for 2 weeks+ to receive reg paycheck (year)?,21,categorical
f4k10,How many hours do you usually work per week at that job?,82,continuous
f4k11,Do you work for yourself or for someone else in this job?,6,categorical
f4k12,What did you do at this/that job?,14,categorical
f4k13,"How much you usual earn in job, before taxes and deductions ($)?",1639,continuous
f4k13p,"How much you usual earn in job, before taxes and deductions (time period)?",10,categorical
f4k14a1,"At your primary job, do you regularly work weekdays?",6,categorical
f4k14a2,"At your primary job, do you regularly work evenings (6pm-11pm)?",6,categorical
f4k14a3,"At your primary job, do you regularly work nights (11pm-7am)?",6,categorical
f4k14a4,"At your primary job, do you regularly work weekends?",6,categorical
f4k14a5,"At your primary job, do you regularly work different times each week?",6,categorical
f4k14b1,"In addition to your regular working shift, do you sometimes also work weekdays?",6,categorical
f4k14b2,"In addition to your regular working shift, do you sometimes also work evenings?",6,categorical
f4k14b3,"In addition to your regular working shift, do you sometimes also work nights?",6,categorical
f4k14b4,"In addition to your regular working shift, do you sometimes also work weekends?",6,categorical
f4k15,INT CHK: HAS FATHER WORKED SINCE CHILD WAS BORN?,4,categorical
f4k16a,True/not true: My shift & work schedule cause extra stress for me & child,8,categorical
f4k16b,True/not true: Where I work is difficult to deal w/child care problems during wo,8,categorical
f4k16c,True/not true: In my work schedule I have enough flexibility to handle family ne,8,categorical
f4k17,Ever time in past year you worked more than 1 regular job at the same time?,6,categorical
f4k18,"When you had more than 1 reg job at time, # hrs/wk did you usual work?",52,unknown
f4k19,How much did you earn from all reg jobs in past 12 months (amount)?,2063,continuous
f4k20,How much did you earn from all reg jobs in the past 12 months (range)?,13,categorical
f4k21,"In past year, how many weeks did you work at your job?",53,continuous
f4k22,"In past year, how many reg jobs have you had that lasted 2 weeks or more?",19,continuous
f4k23,"In past year, how many reg jobs have you had that lasted 2 weeks+ (range)?",6,categorical
f4k24a,"During the past 12 months, did you work in your own business?",5,categorical
f4k24b,"In the last 12 months, about how many weeks did you work in your own business?",37,continuous
f4k24c,"During those weeks, how many hrs/wk did you work in own business?",41,continuous
f4k24d,"When you did this, how were you paid?",7,categorical
f4k24e,How much money did you receive in the last 12 months for your own business?,200,continuous
f4k24e1,How much money did you receive in last 12 months for your own business (range)?,11,categorical
f4k24f,Was other type of payment received?,4,categorical
f4k24f_1,What did you get in exchange: meals?,5,categorical
f4k24f_2,What did you get in exchange: clothing?,5,categorical
f4k24f_3,What did you get in exchange: place to live?,5,categorical
f4k24f_4,What did you get in exchange: other?,5,categorical
f4k24f_5,What did you get in exchange: child care?,4,categorical
f4k25a,"During past yr did you sell/deliver drugs, engage in prostitute, other hustles?",1,categorical
f4k25b,"In last yr, how many weeks you sell/deliver drugs, prostitution, other hustles?",1,continuous
f4k25c,"During those weeks, how many hrs/wk did you engage in drugs/prostitution/hustles",1,continuous
f4k25d,"When you did this, how were you paid?",1,categorical
f4k25e,How much money did you receive in the last 12 months for this activity?,1,continuous
f4k25e1,How much money did you receive in the last 12 months for this activity (range)?,1,categorical
f4k25f,Was other type of payment received?,1,categorical
f4k25f_1,What did you get in exchange: meals?,1,categorical
f4k25f_2,What did you get in exchange: clothing?,1,categorical
f4k25f_3,What did you get in exchange: place to live?,1,categorical
f4k25f_4,What did you get in exchange: other?,1,categorical
f4k25f_5,What did you get in exchange: child care?,1,categorical
f4k26a,"During the past 12 months, did you do anything else to earn money?",5,categorical
f4k26b,In last 12 months how many weeks did you do anything else to earn money?,31,continuous
f4k26c,During those weeks how many hrs/wk did you do anything else to earn money?,34,unknown
f4k26d,"When you did this, how were you paid?",6,categorical
f4k26e,How much money did you receive in the last 12 months for this activity?,180,continuous
f4k26e1,How much money did you receive in the last 12 months for this activity (range)?,9,categorical
f4k26f,Was other type of payment received?,3,categorical
f4k26f_1,What did you get in exchange: meals?,4,categorical
f4k26f_2,What did you get in exchange: clothing?,4,categorical
f4k26f_3,What did you get in exchange: place to live?,4,categorical
f4k26f_4,What did you get in exchange: other?,4,categorical
f4k26f_5,What did you get in exchange: child care?,4,categorical
f4l1,"In past yr, total household income from all sources before taxes/deduct?",1995,continuous
f4l1a,"In past yr, what was total household income from all sources (range)?",13,categorical
f4l2,"In past year, have you given/loaned any money to friends or relatives?",4,categorical
f4l2a,"During past year, how much money did you give/loan to friends/relatives?",967,continuous
f4l3,INT CHK: IS FATHER LIVING WITH MOTHER OR CURRENT PARTNER?,3,categorical
f4l4,Do you or your husband/partner have a bank account?,7,categorical
f4l4a,In whose name is the account?,8,categorical
f4l5,Do you or your husband/partner have a credit card?,6,categorical
f4l5a,In whose name is the card?,8,categorical
f4l5b,How do you handle your money?,7,categorical
f4l5c,"In your household, who is usual responsible for making sure bills get paid?",6,categorical
f4l5d,Who would you say controls the money in this household?,10,unknown
f4l6,"Do you or your husband/partner own a car, truck, or van?",6,unknown
f4l6a,"Can you rely on the vehicle to get you to school, work, or other places?",5,categorical
f4l6b,How much do you owe on your vehicle?,1049,continuous
f4l6c,About how much could you get if you sold your vehicle now?,1312,continuous
f4l7,Do you have a bank account?,5,categorical
f4l8,Do you have a credit card?,5,categorical
f4l9,"Do you own a car, truck, or van?",5,categorical
f4l9a,"Can you rely on the vehicle to get you to school, work, or other places?",5,categorical
f4l9b,How much do you owe on your vehicle?,249,continuous
f4l9c,About how much could you get if you sold your vehicle now?,327,continuous
cf4hhinc,Constructed - Household income (with imputed values),2594,continuous
cf4hhimp,Constructed - Flag variable for household income imputation,6,categorical
cf4hhincb,Constructed - Household income mother report for married/cohab if available,2588,continuous
cf4hhimpb,Constructed - Flag variable for household income imputation mother report for ma,6,categorical
cf4povco,Constructed - Poverty ratio - household income/poverty threshold,2596,continuous
cf4povcob,Constructed - Poverty ratio - mother report for married/cohab,2600,continuous
cf4povca,Constructed - Poverty categories,6,categorical
cf4povcab,Constructed - Poverty categories - mother report for married/cohab,6,categorical
cf4span,Constructed - Interview conducted in Spanish,3,categorical
cf4tele,Constructed - Interview conducted by telephone,3,categorical
f4natwt_rep1,Father five-year national replicate weight no. 1,0,unknown
f4natwt_rep2,Father five-year national replicate weight no. 2,0,unknown
f4natwt_rep3,Father five-year national replicate weight no. 3,0,unknown
f4natwt_rep4,Father five-year national replicate weight no. 4,0,unknown
f4natwt_rep5,Father five-year national replicate weight no. 5,0,unknown
f4natwt_rep6,Father five-year national replicate weight no. 6,0,unknown
f4natwt_rep7,Father five-year national replicate weight no. 7,0,unknown
f4natwt_rep8,Father five-year national replicate weight no. 8,0,unknown
f4natwt_rep9,Father five-year national replicate weight no. 9,0,unknown
f4natwt_rep10,Father five-year national replicate weight no. 10,0,unknown
f4natwt_rep11,Father five-year national replicate weight no. 11,0,unknown
f4natwt_rep12,Father five-year national replicate weight no. 12,0,unknown
f4natwt_rep13,Father five-year national replicate weight no. 13,0,unknown
f4natwt_rep14,Father five-year national replicate weight no. 14,0,unknown
f4natwt_rep15,Father five-year national replicate weight no. 15,0,unknown
f4natwt_rep16,Father five-year national replicate weight no. 16,0,unknown
f4natwt_rep17,Father five-year national replicate weight no. 17,0,unknown
f4natwt_rep18,Father five-year national replicate weight no. 18,0,unknown
f4natwt_rep19,Father five-year national replicate weight no. 19,0,unknown
f4natwt_rep20,Father five-year national replicate weight no. 20,0,unknown
f4natwt_rep21,Father five-year national replicate weight no. 21,0,unknown
f4natwt_rep22,Father five-year national replicate weight no. 22,0,unknown
f4natwt_rep23,Father five-year national replicate weight no. 23,0,unknown
f4natwt_rep24,Father five-year national replicate weight no. 24,0,unknown
f4natwt_rep25,Father five-year national replicate weight no. 25,0,unknown
f4natwt_rep26,Father five-year national replicate weight no. 26,0,unknown
f4natwt_rep27,Father five-year national replicate weight no. 27,0,unknown
f4natwt_rep28,Father five-year national replicate weight no. 28,0,unknown
f4natwt_rep29,Father five-year national replicate weight no. 29,0,unknown
f4natwt_rep30,Father five-year national replicate weight no. 30,0,unknown
f4natwt_rep31,Father five-year national replicate weight no. 31,0,unknown
f4natwt_rep32,Father five-year national replicate weight no. 32,0,unknown
f4natwt_rep33,Father five-year national replicate weight no. 33,0,unknown
f4natwtx_rep1,Father five-year national replicate weight no. 1 (excluding one city),0,unknown
f4natwtx_rep2,Father five-year national replicate weight no. 2 (excluding one city),0,unknown
f4natwtx_rep3,Father five-year national replicate weight no. 3 (excluding one city),0,unknown
f4natwtx_rep4,Father five-year national replicate weight no. 4 (excluding one city),0,unknown
f4natwtx_rep5,Father five-year national replicate weight no. 5 (excluding one city),0,unknown
f4natwtx_rep6,Father five-year national replicate weight no. 6 (excluding one city),0,unknown
f4natwtx_rep7,Father five-year national replicate weight no. 7 (excluding one city),0,unknown
f4natwtx_rep8,Father five-year national replicate weight no. 8 (excluding one city),0,unknown
f4natwtx_rep9,Father five-year national replicate weight no. 9 (excluding one city),0,unknown
f4natwtx_rep10,Father five-year national replicate weight no. 10 (excluding one city),0,unknown
f4natwtx_rep11,Father five-year national replicate weight no. 11 (excluding one city),0,unknown
f4natwtx_rep12,Father five-year national replicate weight no. 12 (excluding one city),0,unknown
f4natwtx_rep13,Father five-year national replicate weight no. 13 (excluding one city),0,unknown
f4natwtx_rep14,Father five-year national replicate weight no. 14 (excluding one city),0,unknown
f4natwtx_rep15,Father five-year national replicate weight no. 15 (excluding one city),0,unknown
f4natwtx_rep16,Father five-year national replicate weight no. 16 (excluding one city),0,unknown
f4natwtx_rep17,Father five-year national replicate weight no. 17 (excluding one city),0,unknown
f4natwtx_rep18,Father five-year national replicate weight no. 18 (excluding one city),0,unknown
f4natwtx_rep19,Father five-year national replicate weight no. 19 (excluding one city),0,unknown
f4natwtx_rep20,Father five-year national replicate weight no. 20 (excluding one city),0,unknown
f4natwtx_rep21,Father five-year national replicate weight no. 21 (excluding one city),0,unknown
f4natwtx_rep22,Father five-year national replicate weight no. 22 (excluding one city),0,unknown
f4natwtx_rep23,Father five-year national replicate weight no. 23 (excluding one city),0,unknown
f4natwtx_rep24,Father five-year national replicate weight no. 24 (excluding one city),0,unknown
f4natwtx_rep25,Father five-year national replicate weight no. 25 (excluding one city),0,unknown
f4natwtx_rep26,Father five-year national replicate weight no. 26 (excluding one city),0,unknown
f4natwtx_rep27,Father five-year national replicate weight no. 27 (excluding one city),0,unknown
f4natwtx_rep28,Father five-year national replicate weight no. 28 (excluding one city),0,unknown
f4natwtx_rep29,Father five-year national replicate weight no. 29 (excluding one city),0,unknown
f4natwtx_rep30,Father five-year national replicate weight no. 30 (excluding one city),0,unknown
f4natwtx_rep31,Father five-year national replicate weight no. 31 (excluding one city),0,unknown
f4natwtx_rep32,Father five-year national replicate weight no. 32 (excluding one city),0,unknown
f4natwtx_rep33,Father five-year national replicate weight no. 33 (excluding one city),0,unknown
f4citywt_rep1,Father five-year city replicate weight no. 1,2295,continuous
f4citywt_rep2,Father five-year city replicate weight no. 2,2257,continuous
f4citywt_rep3,Father five-year city replicate weight no. 3,2293,continuous
f4citywt_rep4,Father five-year city replicate weight no. 4,2279,continuous
f4citywt_rep5,Father five-year city replicate weight no. 5,2280,continuous
f4citywt_rep6,Father five-year city replicate weight no. 6,2280,continuous
f4citywt_rep7,Father five-year city replicate weight no. 7,2266,continuous
f4citywt_rep8,Father five-year city replicate weight no. 8,2269,continuous
f4citywt_rep9,Father five-year city replicate weight no. 9,2252,continuous
f4citywt_rep10,Father five-year city replicate weight no. 10,2238,continuous
cc4natsm,Constructed - Couple five-year national sample flag,2,unknown
c4natwt,Couple five-year national couple weight,0,unknown
c4natwt_rep1,Couple five-year national replicate weight no. 1,0,unknown
c4natwt_rep2,Couple five-year national replicate weight no. 2,0,unknown
c4natwt_rep3,Couple five-year national replicate weight no. 3,0,unknown
c4natwt_rep4,Couple five-year national replicate weight no. 4,0,unknown
c4natwt_rep5,Couple five-year national replicate weight no. 5,0,unknown
c4natwt_rep6,Couple five-year national replicate weight no. 6,0,unknown
c4natwt_rep7,Couple five-year national replicate weight no. 7,0,unknown
c4natwt_rep8,Couple five-year national replicate weight no. 8,0,unknown
c4natwt_rep9,Couple five-year national replicate weight no. 9,0,unknown
c4natwt_rep10,Couple five-year national replicate weight no. 10,0,unknown
c4natwt_rep11,Couple five-year national replicate weight no. 11,0,unknown
c4natwt_rep12,Couple five-year national replicate weight no. 12,0,unknown
c4natwt_rep13,Couple five-year national replicate weight no. 13,0,unknown
c4natwt_rep14,Couple five-year national replicate weight no. 14,0,unknown
c4natwt_rep15,Couple five-year national replicate weight no. 15,0,unknown
c4natwt_rep16,Couple five-year national replicate weight no. 16,0,unknown
c4natwt_rep17,Couple five-year national replicate weight no. 17,0,unknown
c4natwt_rep18,Couple five-year national replicate weight no. 18,0,unknown
c4natwt_rep19,Couple five-year national replicate weight no. 19,0,unknown
c4natwt_rep20,Couple five-year national replicate weight no. 20,0,unknown
c4natwt_rep21,Couple five-year national replicate weight no. 21,0,unknown
c4natwt_rep22,Couple five-year national replicate weight no. 22,0,unknown
c4natwt_rep23,Couple five-year national replicate weight no. 23,0,unknown
c4natwt_rep24,Couple five-year national replicate weight no. 24,0,unknown
c4natwt_rep25,Couple five-year national replicate weight no. 25,0,unknown
c4natwt_rep26,Couple five-year national replicate weight no. 26,0,unknown
c4natwt_rep27,Couple five-year national replicate weight no. 27,0,unknown
c4natwt_rep28,Couple five-year national replicate weight no. 28,0,unknown
c4natwt_rep29,Couple five-year national replicate weight no. 29,0,unknown
c4natwt_rep30,Couple five-year national replicate weight no. 30,0,unknown
c4natwt_rep31,Couple five-year national replicate weight no. 31,0,unknown
c4natwt_rep32,Couple five-year national replicate weight no. 32,0,unknown
c4natwt_rep33,Couple five-year national replicate weight no. 33,0,unknown
cc4natsmx,Constructed - Couple five-year national sample flag (excluding Austin),2,unknown
c4natwtx,Couple five-year national couple weight minus one city,0,unknown
c4natwtx_rep1,Couple five-year national replicate weight no. 1 (excluding Austin),0,unknown
c4natwtx_rep2,Couple five-year national replicate weight no. 2 (excluding Austin),0,unknown
c4natwtx_rep3,Couple five-year national replicate weight no. 3 (excluding Austin),0,unknown
c4natwtx_rep4,Couple five-year national replicate weight no. 4 (excluding Austin),0,unknown
c4natwtx_rep5,Couple five-year national replicate weight no. 5 (excluding Austin),0,unknown
c4natwtx_rep6,Couple five-year national replicate weight no. 6 (excluding Austin),0,unknown
c4natwtx_rep7,Couple five-year national replicate weight no. 7 (excluding Austin),0,unknown
c4natwtx_rep8,Couple five-year national replicate weight no. 8 (excluding Austin),0,unknown
c4natwtx_rep9,Couple five-year national replicate weight no. 9 (excluding Austin),0,unknown
c4natwtx_rep10,Couple five-year national replicate weight no. 10 (excluding Austin),0,unknown
c4natwtx_rep11,Couple five-year national replicate weight no. 11 (excluding Austin),0,unknown
c4natwtx_rep12,Couple five-year national replicate weight no. 12 (excluding Austin),0,unknown
c4natwtx_rep13,Couple five-year national replicate weight no. 13 (excluding Austin),0,unknown
c4natwtx_rep14,Couple five-year national replicate weight no. 14 (excluding Austin),0,unknown
c4natwtx_rep15,Couple five-year national replicate weight no. 15 (excluding Austin),0,unknown
c4natwtx_rep16,Couple five-year national replicate weight no. 16 (excluding Austin),0,unknown
c4natwtx_rep17,Couple five-year national replicate weight no. 17 (excluding Austin),0,unknown
c4natwtx_rep18,Couple five-year national replicate weight no. 18 (excluding Austin),0,unknown
c4natwtx_rep19,Couple five-year national replicate weight no. 19 (excluding Austin),0,unknown
c4natwtx_rep20,Couple five-year national replicate weight no. 20 (excluding Austin),0,unknown
c4natwtx_rep21,Couple five-year national replicate weight no. 21 (excluding Austin),0,unknown
c4natwtx_rep22,Couple five-year national replicate weight no. 22 (excluding Austin),0,unknown
c4natwtx_rep23,Couple five-year national replicate weight no. 23 (excluding Austin),0,unknown
c4natwtx_rep24,Couple five-year national replicate weight no. 24 (excluding Austin),0,unknown
c4natwtx_rep25,Couple five-year national replicate weight no. 25 (excluding Austin),0,unknown
c4natwtx_rep26,Couple five-year national replicate weight no. 26 (excluding Austin),0,unknown
c4natwtx_rep27,Couple five-year national replicate weight no. 27 (excluding Austin),0,unknown
c4natwtx_rep28,Couple five-year national replicate weight no. 28 (excluding Austin),0,unknown
c4natwtx_rep29,Couple five-year national replicate weight no. 29 (excluding Austin),0,unknown
c4natwtx_rep30,Couple five-year national replicate weight no. 30 (excluding Austin),0,unknown
c4natwtx_rep31,Couple five-year national replicate weight no. 31 (excluding Austin),0,unknown
c4natwtx_rep32,Couple five-year national replicate weight no. 32 (excluding Austin),0,unknown
c4natwtx_rep33,Couple five-year national replicate weight no. 33 (excluding Austin),0,unknown
cc4citsm,Constructed - Couple five-year city sample flag,2,unknown
c4citywt,Couple five-year city couple weight,2259,continuous
c4citywt_rep1,Couple five-year city replicate weight no. 1,2052,continuous
c4citywt_rep2,Couple five-year city replicate weight no. 2,2072,continuous
c4citywt_rep3,Couple five-year city replicate weight no. 3,2048,continuous
c4citywt_rep4,Couple five-year city replicate weight no. 4,2059,continuous
c4citywt_rep5,Couple five-year city replicate weight no. 5,2068,continuous
c4citywt_rep6,Couple five-year city replicate weight no. 6,2048,continuous
c4citywt_rep7,Couple five-year city replicate weight no. 7,2059,continuous
c4citywt_rep8,Couple five-year city replicate weight no. 8,2049,continuous
c4citywt_rep9,Couple five-year city replicate weight no. 9,2057,continuous
c4citywt_rep10,Couple five-year city replicate weight no. 10,2010,continuous
k5conf2,CONF2. Child has seen his/her biofather in the last year,6,categorical
k5conf3,CONF3. Child's biomother has a husband or partner in the house,5,categorical
k5conf6,CONF6. Child has seen his/her biomother in the last year,5,categorical
k5conf9,CONF9. Child has seen his/her biomother in the last year,5,categorical
k5conf10,CONF10. Child has seen his/her biofather in the last year,5,categorical
k5a1a,A1A. How often PCG knows what you do during your free time,8,categorical
k5a1b,A1B. How often PCG knows which friends you hang out with during free time,8,categorical
k5a1c,A1C. How often PCG asks about things that happened when you are not with her/him,8,categorical
k5a1d,A1D. How often PCG makes you tell where you are going and with whom,8,categorical
k5a1e,A1E. How often PCG knows what you spend money on,8,categorical
k5a2a,A2A. Your mom talks over important decisions with you,9,categorical
k5a2b,A2B. Your mom listens to your side of an argument,9,categorical
k5a2c,A2C. Your mom spends enough time with you,9,categorical
k5a2d,A2D. Your mom misses events or activities that are important to you,9,categorical
k5a2e,A2E. How close you feel to your mom,9,categorical
k5a2f,A2F. How well you and your mom share ideas or talk about things that matter,9,categorical
k5a3a,A3A. Your dad talks over important decisions with you,9,categorical
k5a3b,A3B. Your dad listens to your side of an argument,9,categorical
k5a3c,A3C. Your dad spends enough time with you,9,categorical
k5a3d,A3D. Your dad misses events or activities that are important to you,9,categorical
k5a3e,A3E. How close you feel to your dad,9,categorical
k5a3f,A3F. How well you and your dad share ideas or talk about things that matter,9,categorical
k5a4a,A4A. Social dad talks over important decisions with you,9,categorical
k5a4b,A4B. Social dad listens to your side of an argument,9,categorical
k5a4c,A4C. Social dad spends enough time with you,9,categorical
k5a4d,A4D. Social dad misses events or activities that are important to you,9,categorical
k5a4e,A4E. How close you feel to social dad,9,categorical
k5a4f,A4F. How well you and social dad share ideas or talk about things that matter,9,categorical
k5b1a,B1A. Frequency mom explained why something you did was wrong,10,categorical
k5b1b,"B1B. Frequency mom sent you to your room, took away privileges, or grounded you",10,categorical
k5b1c,"B1C. Frequency mom shouted, yelled, screamed, swore or cursed at you",10,categorical
k5b1d,B1D. Frequency mom spanked or hit you,10,categorical
k5b2a,B2A. Frequency dad explained why something you did was wrong,10,categorical
k5b2b,"B2B. Frequency dad sent you to your room, took away privileges, or grounded you",10,categorical
k5b2c,"B2C. Frequency dad shouted, yelled, screamed, swore or cursed at you",10,categorical
k5b2d,B2D. Frequency dad spanked or hit you,10,categorical
k5b3a,B3A. Frequency social dad explained why something you did was wrong,10,categorical
k5b3b,"B3B. Frequency social dad sent you to your room, took away privileges, or ground",10,categorical
k5b3c,"B3C. Frequency social dad shouted, yelled, screamed, swore or cursed at you",10,categorical
k5b3d,B3D. Frequency social dad spanked or hit you,10,categorical
k5c0,C0. You have brothers and/or sisters living with you,6,categorical
k5c1,C1. Frequency you try to make siblings feel better,9,categorical
k5c1a,C1A. Frequency you start fights or are mean to siblings,9,categorical
k5c1b,C1B. Birth mother has other children,7,categorical
k5c2,C2. Frequency you feel mom treats her other children better than she treats you,9,categorical
k5c3,C3. Frequency you feel jealous about attention mother gives her other children,9,categorical
k5c3a,C3A. Biological father has other children,6,categorical
k5c4,C4. Frequency you feel dad treats his other children better than he treats you,9,categorical
k5c5,C5. Frequency you feel jealous about how dad treats his other children,9,categorical
k5c5a,C5A. Social dad has any children living with you,7,categorical
k5c6,C6. Frequency you feel social dad treats his other children better than you,9,categorical
k5c7,C7. Frequency you feel jealous about social dad's attention to his other childre,9,categorical
k5d1a,D1A. Amount of time on a weekday you hang out with friends,9,categorical
k5d1b,D1B. Amount of time on a weekday you hang out with family members,9,categorical
k5d1c,D1C. Amount of time on a weekday you do household chores or help at home,9,categorical
k5d1d,D1D. Amount of time on a weekday you do school work on the computer,9,categorical
k5d1e,D1E. Amount of time on a weekday you chat with friends on the computer,9,categorical
k5d1f,D1F. Amount of time on a weekday you play computer games on the computer or TV,9,categorical
k5d1g,D1G. Amount of time on a weekday you watch TV and movies,9,categorical
k5d1h,D1H. Amount of time on a weekday you attend practice/lessons/after-school progra,9,categorical
k5d2,D2. People you are usually with right after school,10,categorical
k5e1a,E1A. Frequency you felt a part of your school,9,categorical
k5e1b,E1B. Frequency you felt close to people at your school,9,categorical
k5e1c,E1C. Frequency you felt happy to be at your school,9,categorical
k5e1d,E1D. Frequency you felt safe at your school,9,categorical
k5e2a,E2A. Frequency kids picked on you or said mean things to you,9,categorical
k5e2b,E2B. Frequency kids hit you,9,categorical
k5e2c,"E2C. Frequency kids take your things, like your money or lunch",9,categorical
k5e2d,E2D. Frequency kids purposely left you out of activities,9,categorical
k5f1a,F1A. Purposely damaged or destroyed property,1,categorical
k5f1b,F1B. Taken or stolen something,1,categorical
k5f1c,F1C. Taken money at home,1,categorical
k5f1d,F1D. Cheated on a school test,1,categorical
k5f1e,F1E. Had a fist fight with another person,1,categorical
k5f1f,F1F. Hurt an animal on purpose,1,categorical
k5f1g,F1G. Gone into somebody's garden/yard/house/garage when not supposed to,1,categorical
k5f1h,F1H. Ran away from home,1,categorical
k5f1i,F1I. Skipped school without an excuse,1,categorical
k5f1j,"F1J. Secretly taken a sip of wine, beer, or liquor",1,categorical
k5f1k,"F1K. Smoked marijuana, grass, pot, weed",1,categorical
k5f1l,F1L. Smoked a cigarette or used tobacco,1,categorical
k5f1m,F1M. Been suspended or expelled from school,1,categorical
k5f1n,F1N. Written things or sprayed paint on walls or sidewalks or cars,1,categorical
k5f1o,"F1O. Purposely set fire to building, car, or other or tried to do so",1,categorical
k5f1p,"F1P. Avoided paying for things such as movies, bus or subway, or food",1,categorical
k5f1q,F1Q. Thrown rocks or bottles at people or cars,1,categorical
k5g1a,G1A. I stay with a task until I solve it,8,categorical
k5g1b,"G1B. Even when a task is difficult, I want to solve it anyway",8,categorical
k5g1c,G1C. I keep my things orderly,8,categorical
k5g1d,G1D. I try to do my best on all my work,8,categorical
k5g1e,G1E. I follow things through to the end,8,categorical
k5g2a,G2A. I feel angry when I have trouble learning something,8,categorical
k5g2b,G2B. I often argue with other kids,8,categorical
k5g2c,G2C. I worry about taking tests,8,categorical
k5g2d,G2D. It's hard for me to pay attention,8,categorical
k5g2e,G2E. I often feel lonely,8,categorical
k5g2f,G2F. I get distracted easily,8,categorical
k5g2g,G2G. I feel sad a lot of the time,8,categorical
k5g2h,G2H. It's hard for me to finish my schoolwork,8,categorical
k5g2i,G2I. I worry about doing well in school,8,categorical
k5g2j,G2J. I worry about finishing my work,8,categorical
k5g2k,G2K. I worry about having someone to play with,8,categorical
k5g2l,G2L. I feel ashamed when I make mistakes at school,8,categorical
k5g2m,G2M. I get in trouble for talking and disturbing others,8,categorical
k5g2n,G2N. I get in trouble for fighting with other kids,8,categorical
k5h1,H1. Condition of health in general,9,categorical
k5h2,H2. Frequency you wear a seatbelt when riding in a car,8,categorical
ck5_kstatus,"Converted interview completion status (complete, breakoff, not in wave)",4,categorical
ck5pcg_mismatch,Y9 Child Survey - Flag for PCG Mismatch,2,categorical
ck5kint,Constructed --did child complete year 9 child survey,2,categorical
cm5_bmomstat,BioMom survey status variable,5,categorical
m5a2,A2. Confirm how much time child lives with respondent,8,categorical
m5a3,A3. Number of months ago child stopped living with you,43,continuous
m5a3b,A3B. Child's foster parents related to you,5,categorical
m5a3b1a,A3B1A. Person taking care of child receives payment,6,categorical
m5a3c,A3C. Number of months child been living there,46,continuous
m5a3d,A3D. You expect child to live with you again during coming year,5,categorical
m5a3e,A3E. Number of days you saw child in past 30 days,24,continuous
m5a3e2,A3E2. You have seen child in the last year,4,categorical
m5a3f,A3F. Who child lives with when not living with you,6,categorical
m5a3g,A3G. Number of days child lived with you in past 30 days,11,continuous
m5a4,A4. Your relationship with the child's biofather now,13,categorical
m5a4b,A4B. Month father died,1,categorical
m5a4b2,A4B2. Year father died,13,continuous
m5a4c,A4C. Cause of father's death,8,categorical
m5a4e1,A4E1. Month you and father got married,1,categorical
m5a4e2,A4E2. Year you and father got married,23,continuous
m5a4g1,A4G1. Month you and father started living together,1,categorical
m5a4g2,A4G2. Year you and father started living together,32,continuous
m5a4h1,A4H1. Month you and father separated/divorced,1,categorical
m5a4h2,A4H2. Year you and father separated/divorced,11,continuous
m5a4j1,A4J1. Month your romantic relationship with father ended,1,categorical
m5a4j2,A4J2. Year your romantic relationship with father ended,15,continuous
m5a4k,A4K. Why your romantic relationship with father ended,11,categorical
m5a4m,A4M. How often you and father see or talk to each other,10,categorical
m5a5,"A5. Not including yourself and child, number of people currently living with you",7,categorical
m5a51,"A5. Not including yourself and child, number of people currently living with you",18,continuous
m5a5b01,A5B. Gender of household member,4,categorical
m5a5c01,A5C. Age of household member,71,continuous
m5a5c01a,A5C2. Age range of household member,3,categorical
m5a5d01,A5D. Household member's relationship to you,15,categorical
m5a5e01,A5E. Household member currently working,5,categorical
m5a5b02,A5B. Gender of household member,7,categorical
m5a5c02,A5C. Age of household member,93,continuous
m5a5c02a,A5C2. Age range of household member,8,categorical
m5a5d02,A5D. Household member's relationship to you,22,categorical
m5a5e02,A5E. Household member currently working,6,categorical
m5a5b03,A5B. Gender of household member,7,categorical
m5a5c03,A5C. Age of household member,85,continuous
m5a5c03a,A5C2. Age range of household member,8,categorical
m5a5d03,A5D. Household member's relationship to you,23,categorical
m5a5e03,A5E. Household member currently working,5,categorical
m5a5b04,A5B. Gender of household member,6,categorical
